vivid purplish blue,"blue",#383d96,56,61,150
strong orange yellow,"orange yellow",#e0a32e,224,163,46
strong yellow green,"yellow green",#9dbc40,157,188,64
deep purple,"purple",#5e3c6c,94,60,108
moderate red,"moderate red",#c15a63,193,90,99
Strong purplish blue,"purplish blue",#505ba6,80,91,166
Strong orange,"orange",#d67e2c,214,126,44
Light bluish green,"bluish green",#67bdaa,103,189,170
Light violet,"blue flower",#8580b1,133,128,177
Moderate olive green,"foliage",#576c43,87,108,67
Moderate blue,"blue sky",#627a9d,98,122,157
Light reddish brown,"light skin",#c29682,194,150,130
Moderate brown,"dark skin",#735244,115,82,68
strong greenish blue,"cyan",#0885a1,8,133,161
strong reddish purple,"magenta",#bb5695,187,86,149
vivid yellow,"yellow",#e7c71f,231,199,31
strong red,"red",#af363c,175,54,60
strong yellowish green,"green",#469449,70,148,73
white,"white",#f3f3f2,243,243,242
light gray,"neutral 8",#c8c8c8,200,200,200
light medium gray,"neutral 6.5",#a0a0a0,160,160,160
medium gray,"neutral 5",#7a7a7a,122,122,122
dark gray,"neutral 3.5",#555555,85,85,85
black,"black",#343434,52,52,52
